corbett,region,height,first_route_title,first_route_url,time_hours_min,time_hours_max,distance_km,ascent,scramble,exposed,spate,bog,river,pathless,toilet,bothy,pub,car_park,deer_fence,cow,bike,start_lat,start_lon,ascents,rating
Sgòr Mòr,813m,NA,Sgòrr Mòr circular from the Linn of Dee,https://www.walkhighlands.co.uk/cairngorms/sgor-mor.shtml,6,7,20.75,544,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,56.9895,-3.5439,1422,NA
Sgòrr Craobh a' Chaorainn,775m,NA,"The Sgùrr Ghiubhsachain round, from Callop",https://www.walkhighlands.co.uk/fortwilliam/sgurr-ghiubhsachain.shtml,9,11,21.75,1454,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,56.8579,-5.4068,711,NA
Sgòrr na Diollaid,818m,NA,Sgòrr na Diollaid from Glen Cannich,https://www.walkhighlands.co.uk/lochness/sgorr-na-diollaid.shtml,4,5,7,654,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.3589,-4.85151,1118,NA
Sgòrr nan Lochan Uaine,871m,NA,Sgòrr nan Lochan Uaine and Sgùrr Dubh from Glen Torridon,https://www.walkhighlands.co.uk/torridon/sgorr-nan-lochan-uaine.shtml,7.5,9,14.25,985,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.5547,-5.4156,813,NA
Sguman Coinntich,879m,NA,Sguman Coinntich and Faochaig from Killilan,https://www.walkhighlands.co.uk/kintail/sguman-coinntich.shtml,9,10,25,1198,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,57.3169,-5.4221,604,NA
Sgùrr a' Chaorachain,792m,NA,Sgùrr a' Chaorachain from the Bealach na Ba,https://www.walkhighlands.co.uk/torridon/Sgurrachaorachain.shtml,2,2.5,7,375,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.4188,-5.70807,1421,NA
Sgùrr a' Choire-bheithe,913m,NA,Sgùrr a’ Choire-bheithe from Barrisdale Bay,https://www.walkhighlands.co.uk/fortwilliam/sgurr-a-choire-bheithe.shtml,4.5,5.5,9.75,932,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,57.0796,-5.5134,427,NA
Sgùrr a' Mhuilinn,879m,NA,Sgùrr a' Mhuilinn and Meallan nan Uan from Strathconon,https://www.walkhighlands.co.uk/lochness/sgurr-a-mhuilinn.shtml,5,7,13,1085,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,57.5482,-4.852,995,NA
Sgùrr an Airgid,841m,NA,Sgùrr an Airgid from Morvich,https://www.walkhighlands.co.uk/kintail/Sgurranairgid.shtml,4.5,6,10.5,932,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.2354,-5.4042,1339,NA
Sgùrr an Fhuarain,901m,NA,Sgùrr Mòr and Sgùrr an Fhuarain from Loch Arkaig,https://www.walkhighlands.co.uk/fortwilliam/sgurr-mor.shtml,9,11,24,1510,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,56.9719,-5.3123,1296,NA
