corbett,region,height,first_route_title,first_route_url,time_hours_min,time_hours_max,distance_km,ascent,scramble,exposed,spate,bog,river,pathless,toilet,bothy,pub,car_park,deer_fence,cow,bike,start_lat,start_lon,ascents,rating
Beinn a' Chrùlaiste,857m,NA,Beinn a' Chrùlaiste from Altnafeidh,https://www.walkhighlands.co.uk/fortwilliam/beinn-a-chrulaiste.shtml,4,5,11,652,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.6644,-4.9045,2599,NA
Beinn a' Chuallaich,891m,NA,Beinn a' Chuallaich circuit from the B847,https://www.walkhighlands.co.uk/perthshire/beinn-a-chuallaich.shtml,4,5,10.5,678,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,56.727,-4.1142,1305,NA
Beinn Airigh Charr,791m,NA,Beinn Airigh Charr from Poolewe,https://www.walkhighlands.co.uk/torridon/beinn-airigh-charr.shtml,7,8,22.25,984,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,57.7658,-5.6027,768,NA
Beinn an Eoin,855m,NA,Beinn an Eoin from the north,https://www.walkhighlands.co.uk/torridon/beinn-an-eoin.shtml,6,7,20.1,1000,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,57.6873,-5.59741,893,NA
Beinn an Lochain,901m,NA,Beinn an Lochain from near Butterbridge,https://www.walkhighlands.co.uk/lochlomond/beinn-an-lochain.shtml,3,5,5.5,720,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.2391,-4.8512,2985,NA
Beinn an Òir,785m,NA,Beinn an Òir via Loch an t-Siob,https://www.walkhighlands.co.uk/islay-jura/beinn-an-oir.shtml,4.5,6,13.25,758,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,55.8789,-5.9268,1122,NA
Beinn Bhan,896m,NA,Beinn Bhan,https://www.walkhighlands.co.uk/torridon/Beinnbhan.shtml,5,7,14,995,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.4194,-5.60814,1082,NA
Beinn Bhan (Great Glen),796m,NA,Beinn Bhan from Glen Loy,https://www.walkhighlands.co.uk/fortwilliam/beinn-bhan.shtml,4,5,8.5,771,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56.9015,-5.0793,1102,NA
Beinn Bheula,779m,NA,Beinn Bheula from Loch Goil,https://www.walkhighlands.co.uk/argyll/beinn-bheula.shtml,5,6,12,798,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.1589,-4.921,1195,NA
Beinn Bhreac,912m,NA,Beinn Bhreac via Glen Bruar from Calvine,https://www.walkhighlands.co.uk/perthshire/beinn-bhreac.shtml,10,12,41.25,1054,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,56.7681,-3.9573,763,NA
Beinn Bhreac-liath,802m,NA,Beinn Udlaidh and Beinn Bhreac-liath from Glen Orchy,https://www.walkhighlands.co.uk/argyll/beinn-udlaidh.shtml,5.5,6,12,911,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,56.4913,-4.799,1403,NA
Beinn Bhuidhe,855m,NA,Beinn Bhuidhe from Inverie,https://www.walkhighlands.co.uk/fortwilliam/beinn-bhuidhe-knoydart.shtml,7,9,19.5,1120,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,57.0383,-5.6852,621,NA
Beinn Chaorach,818m,NA,"Beinn Odhar, Beinn Chaorach and Cam Chreag",https://www.walkhighlands.co.uk/argyll/beinn-odhar-cam-chreag.shtml,7,8,21,1367,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,56.4363,-4.7114,1310,NA
Beinn Chuirn,880m,NA,Beinn Chuirn from Dalrigh,https://www.walkhighlands.co.uk/argyll/beinn-chuirn.shtml,5.5,6,16,706,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.4251,-4.6869,1324,NA
Beinn Dàmh,903m,NA,Beinn Dàmh,https://www.walkhighlands.co.uk/torridon/Beinndamh.shtml,5,6,12,980,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.5282,-5.52648,1835,NA
Beinn Dearg (Glen Lyon),830m,NA,"Beinn Dearg from Innerwick, Glen Lyon",https://www.walkhighlands.co.uk/perthshire/beinn-dearg-glen-lyon.shtml,3.5,4.5,10.5,627,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.5982,-4.30392,1162,NA
Beinn Dearg (Torridon),914m,NA,Beinn Dearg from the Abhainn Coire Mhic Nobuil path,https://www.walkhighlands.co.uk/torridon/beinn-dearg-torridon.shtml,7,7.5,14,1014,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.5589,-5.56391,917,NA
Beinn Dearg Bheag,820m,NA,Beinn Dearg Mòr and Beinn Dearg Bheag from Gruinard,https://www.walkhighlands.co.uk/ullapool/beinn-deargs-fisherfield.shtml,13,15,35.25,1450,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,57.8637,-5.4379,591,NA
Beinn Dearg Mòr,906m,NA,Beinn Dearg Mòr and Beinn Dearg Bheag from Gruinard,https://www.walkhighlands.co.uk/ullapool/beinn-deargs-fisherfield.shtml,13,15,35.25,1450,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,57.8637,-5.4379,657,NA
Beinn Dronaig,797m,NA,Beinn Dronaig from Attadale,https://www.walkhighlands.co.uk/torridon/beinn-dronaig.shtml,14,14,32,1157,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,57.3915,-5.45534,529,NA
Beinn Each,813m,NA,Beinn Each from Loch Lubnaig,https://www.walkhighlands.co.uk/lochlomond/beinn-each.shtml,3.5,4.5,7,693,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.2947,-4.29129,4091,NA
Beinn Enaiglair,890m,NA,Beinn Enaglair circuit from Braemore Junction,https://www.walkhighlands.co.uk/ullapool/beinn-enaiglair.shtml,5,6,15.5,754,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,57.7529,-5.0104,1216,NA
Beinn Iaruinn,803m,NA,Beinn Iaruinn and Leana Mòr from Glen Roy,https://www.walkhighlands.co.uk/fortwilliam/beinn-iaruinn.shtml,4.5,5,8.75,786,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.9524,-4.7962,853,NA
Beinn Lair,859m,NA,Beinn Lair from Poolewe,https://www.walkhighlands.co.uk/torridon/beinn-lair.shtml,13,14,40,1210,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,57.7656,-5.6027,541,NA
Beinn Leoìd,792m,NA,Beinn Leoìd and Meallan a' Chuail from the A838,https://www.walkhighlands.co.uk/sutherland/beinn-leoid.shtml,6,7,15.5,941,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58.2578,-4.7997,677,NA
Beinn Liath Mhòr a' Ghiubhais Li,768m,NA,Beinn Liath Mhòr a' Ghiubhais Li from Loch Glascarnoch,https://www.walkhighlands.co.uk/ullapool/beinn-liath-mhor-ghiubhais.shtml,3.5,4,8.5,524,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.7196,-4.8753,1136,NA
Beinn Loinne,790m,NA,Beinn Loinne from Cluanie,https://www.walkhighlands.co.uk/kintail/beinn-loinne.shtml,4.5,6,18,630,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.1557,-5.1779,732,NA
Beinn Luibhean,858m,NA,Beinn Luibhean via the south ridge,https://www.walkhighlands.co.uk/lochlomond/beinn-luibhean.shtml,3,4,4.5,674,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,56.2141,-4.8351,1919,NA
Beinn Maol Chaluim,907m,NA,Beinn Maol Chaluim from Glen Etive,https://www.walkhighlands.co.uk/fortwilliam/beinn-maol-chaluim.shtml,5,6,8,844,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.6008,-5.0167,806,NA
Beinn Mheadhonach,901m,NA,Beinn Mheadhonach via Glen Tilt,https://www.walkhighlands.co.uk/perthshire/beinn-mheadhonach.shtml,7,8,22.25,857,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.7745,-3.84325,1258,NA
Beinn Mhic Cedidh,783m,NA,Beinn Odhar Bheag and Beinn Mhic Cedidh,https://www.walkhighlands.co.uk/fortwilliam/beinn-odhar-bheag.shtml,6,7,14,1282,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.8737,-5.5191,710,NA
Beinn Mhic Chasgaig,864m,NA,Beinn Mhic Chasgaig from Glen Etive,https://www.walkhighlands.co.uk/fortwilliam/beinn-mhic-chasgaig.shtml,5.5,6,9.75,752,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,56.6181,-4.9396,804,NA
Beinn Mhic-Mhonaidh,796m,NA,Beinn Mhic Mhonaidh from Glen Orchy,https://www.walkhighlands.co.uk/argyll/beinn-mhic-mhonaidh.shtml,4,5,13.5,752,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,56.4479,-4.852,1100,NA
Beinn Mholach,841m,NA,Beinn Mholach from Dalnaspidal Lodge,https://www.walkhighlands.co.uk/perthshire/beinn-mholach.shtml,6.5,7.5,23.5,476,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56.8308,-4.22154,864,NA
Beinn na Caillich,785m,NA,Beinn na Caillich from Inverie,https://www.walkhighlands.co.uk/fortwilliam/beinn-na-caillich-knoydart.shtml,8,9,21.5,1048,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,57.0383,-5.6852,576,NA
Beinn na h-Eaglaise,805m,NA,Beinn na h-Eaglaise and Beinn nan Caorach,https://www.walkhighlands.co.uk/kintail/beinn-na-h-eaglaise.shtml,6,8,11.5,1020,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.1251,-5.55389,699,NA
Beinn na h-Uamha,762m,NA,Beinn na h-Uamha via Glen Gour,https://www.walkhighlands.co.uk/fortwilliam/beinn-na-h-uamha.shtml,7,8,16,835,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7145,-5.3045,541,NA
Beinn nam Fuaran,806m,NA,Beinn a' Chaisteil and Beinn nam Fuaran from Auch,https://www.walkhighlands.co.uk/argyll/chaisteil-fuaran.shtml,7.5,8,21.5,1030,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.4607,-4.71466,982,NA
Beinn nan Caorach,774m,NA,Beinn na h-Eaglaise and Beinn nan Caorach,https://www.walkhighlands.co.uk/kintail/beinn-na-h-eaglaise.shtml,6,8,11.5,1020,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.1251,-5.55389,672,NA
Beinn nan Imirean,849m,NA,Beinn nan Imirean from Glen Dochart,https://www.walkhighlands.co.uk/lochlomond/beinn-nan-imirean.shtml,5,6,11,704,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.4148,-4.5172,1138,NA
Beinn nan Oighreag,909m,NA,Beinn nan Oighreag from Glen Lochay,https://www.walkhighlands.co.uk/perthshire/beinn-nan-oighreag.shtml,5,5.5,15.5,803,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.4867,-4.3736,1251,NA
Beinn Odhar,901m,NA,"Beinn Odhar, Beinn Chaorach and Cam Chreag",https://www.walkhighlands.co.uk/argyll/beinn-odhar-cam-chreag.shtml,7,8,21,1367,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,56.4363,-4.7114,1602,NA
Beinn Odhar Bheag,882m,NA,Beinn Odhar Bheag and Beinn Mhic Cedidh,https://www.walkhighlands.co.uk/fortwilliam/beinn-odhar-bheag.shtml,6,7,14,1282,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.8737,-5.5191,739,NA
Beinn Pharlagain,868m,NA,Beinn Pharlagain from near Rannoch Station,https://www.walkhighlands.co.uk/perthshire/beinn-pharlagain.shtml,5.5,6,18.25,640,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.6863,-4.538,1095,NA
Beinn Resipol,845m,NA,Beinn Resipol from Resipole campsite,https://www.walkhighlands.co.uk/fortwilliam/benresipol.shtml,5,6,11.5,827,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7109,-5.7202,1206,NA
Beinn Spionnaidh,773m,NA,Cranstackie and Beinn Spionnaidh from Carbreck,https://www.walkhighlands.co.uk/sutherland/cranstackie.shtml,6,8,12,1030,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58.4892,-4.8623,923,NA
Beinn Stacath,771m,NA,Beinn Stacath from Glen Buckie,https://www.walkhighlands.co.uk/lochlomond/beinn-stacath.shtml,4.5,5.5,12.75,653,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.327,-4.38009,1148,NA
Beinn Tarsuinn,826m,NA,Beinn Tarsuinn via the Three Beinns circuit,https://www.walkhighlands.co.uk/arran/three-beinns.shtml,6,7,14,949,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,55.5916,-5.17462,1989,NA
Beinn Tharsuinn,863m,NA,Sgùrr na Feartaig and Beinn Tharsuinn from Achnashellach,https://www.walkhighlands.co.uk/torridon/sgurr-na-feartaig.shtml,7,8,22,1180,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,57.4914,-5.2722,1086,NA
Beinn Trilleachan,839m,NA,Beinn Trilleachan from the head of Loch Etive,https://www.walkhighlands.co.uk/fortwilliam/beinn-trilleachan.shtml,6,7,8.75,1000,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.5688,-5.0812,850,NA
Beinn Udlaidh,840m,NA,Beinn Udlaidh and Beinn Bhreac-liath from Glen Orchy,https://www.walkhighlands.co.uk/argyll/beinn-udlaidh.shtml,5.5,6,12,911,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,56.4913,-4.799,1508,NA
Ben Aden (Beinn an Aodainn),887m,NA,Ben Aden via Loch Cuaich (Quoich),https://www.walkhighlands.co.uk/fortwilliam/ben-aden.shtml,11,13,26.75,950,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.0786,-5.312,465,NA
Ben Donich,847m,NA,Ben Donich from Rest and Be Thankful,https://www.walkhighlands.co.uk/lochlomond/ben-donich.shtml,3.5,4.5,7.5,575,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.2219,-4.8599,3530,NA
Ben Gulabin,806m,NA,Ben Gulabin from the A93,https://www.walkhighlands.co.uk/perthshire/ben-gulabin.shtml,2.5,3,6.25,453,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.8257,-3.4526,2194,NA
Ben Hee,873m,NA,"Ben Hee, from West Merkland",https://www.walkhighlands.co.uk/sutherland/ben-hee.shtml,5,6,13.25,765,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58.2571,-4.77333,783,NA
Ben Ledi,879m,NA,Ben Ledi from the Pass of Leny,https://www.walkhighlands.co.uk/lochlomond/ben-ledi.shtml,4,6,10,760,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,56.2534,-4.2822,9380,NA
Ben Loyal,764m,NA,Ben Loyal from Ribigill,https://www.walkhighlands.co.uk/sutherland/ben-loyal.shtml,5.5,6.5,13.75,804,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,58.4575,-4.4281,1556,NA
Ben Rinnes,840m,NA,Ben Rinnes via the east ridge,https://www.walkhighlands.co.uk/moray/ben-rinnes.shtml,3,4,7.5,541,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.4082,-3.19207,4381,NA
Ben Tee,904m,NA,Ben Tee from Kilfinnan,https://www.walkhighlands.co.uk/fortwilliam/bentee.shtml,4,6,10,920,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.0214,-4.83904,1159,NA
Ben Tirran,896m,NA,Ben Tirran via Lochs Brandy and Wharral,https://www.walkhighlands.co.uk/angus/ben-tirran.shtml,4.5,6,14.5,752,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.8442,-3.1054,2301,NA
Ben Vrackie,841m,NA,Ben Vrackie from Moulin,https://www.walkhighlands.co.uk/perthshire/ben-vrackie.shtml,3.5,4.5,10.2,780,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.7155,-3.7277,7724,NA
Ben Vuirich,903m,NA,Ben Vuirich circuit from Loch Moraig,https://www.walkhighlands.co.uk/perthshire/ben-vuirich.shtml,7.5,8,22.75,673,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.7826,-3.7926,1053,NA
Benvane,821m,NA,"Benvane, from Glen Buckie",https://www.walkhighlands.co.uk/lochlomond/benvane.shtml,4,5,8.75,617,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,56.327,-4.38009,2907,NA
Bidein a' Chabair,867m,NA,Bidein a' Chabair from the head of Loch Arkaig,https://www.walkhighlands.co.uk/fortwilliam/bidein-a-chabair.shtml,9,10,26,1095,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,56.9719,-5.3123,440,NA
Binnein an Fhìdhleir (or Stob Coire Creagach),817m,NA,Stob Coire Creagach from Butterbridge,https://www.walkhighlands.co.uk/lochlomond/stob-coire-creagach.shtml,3,5,7,845,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.2457,-4.8509,1511,NA
Braigh nan Uamhachan,765m,NA,Braigh nan Uamhachan via Gleann Dubh Lighe,https://www.walkhighlands.co.uk/fortwilliam/braigh-nan-uamhachan.shtml,7,8,18.75,1038,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,56.864,-5.3976,680,NA
Breabag,815m,NA,Breabag and the Caves of Assynt,https://www.walkhighlands.co.uk/ullapool/breabag.shtml,7,9,20,778,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,58.1156,-4.9666,970,NA
Broad Law,840m,NA,"Broad Law, Cramalt Craig and Dollar Law",https://www.walkhighlands.co.uk/borders/broad-law.shtml,5.5,6.5,21.5,778,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,55.4691,-3.3451,2489,NA
Brown Cow Hill,829m,NA,Brown Cow Hill circular from Cock Bridge,https://www.walkhighlands.co.uk/cairngorms/brown-cow-hill.shtml,5.5,6.5,18,575,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,57.1653,-3.2347,1320,NA
Buidhe Bheinn,885m,NA,Buidhe Bheinn from Kinloch Hourn,https://www.walkhighlands.co.uk/fortwilliam/buidhe-bheinn.shtml,5.5,6,12,1070,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.1046,-5.3863,542,NA
Cairnsmore of Carsphairn,797m,NA,Cairnsmore of Carsphairn from the Green Well of Scotland,https://www.walkhighlands.co.uk/galloway/cairnsmore-of-carsphairn.shtml,3,5,11.5,656,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55.2229,-4.2696,1932,NA
Caisteal Abhail,859m,NA,Caisteal Abhail from North Sannox,https://www.walkhighlands.co.uk/arran/caisteal-abhail.shtml,5.5,6.5,10.5,838,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,55.673,-5.19294,1918,NA
Cam Chreag (Auch),884m,NA,"Beinn Odhar, Beinn Chaorach and Cam Chreag",https://www.walkhighlands.co.uk/argyll/beinn-odhar-cam-chreag.shtml,7,8,21,1367,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,56.4363,-4.7114,1257,NA
Cam Chreag (Glen Lyon),862m,NA,"Cam Chreag from Innerwick, Glen Lyon",https://www.walkhighlands.co.uk/perthshire/cam-chreag.shtml,3.5,4.5,12.75,640,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.5982,-4.30392,1124,NA
Canisp,847m,NA,Canisp from the east,https://www.walkhighlands.co.uk/ullapool/canisp.shtml,5,6,12,710,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58.0996,-4.9708,1767,NA
Càrn a' Choire Ghairbh,865m,NA,"Càrn a' Choire Ghairbh and Aonach Shasuinn, Affric",https://www.walkhighlands.co.uk/lochness/affric-corbetts.shtml,9,10,24.5,1228,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.2649,-4.9853,670,NA
Càrn a' Chuilinn,816m,NA,Càrn a' Chuilinn by Glen Doe,https://www.walkhighlands.co.uk/lochness/carn-a-chuilinn.shtml,5,6,17.25,681,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.1428,-4.6521,745,NA
Càrn an Fhreiceadain,878m,NA,Càrn an Fhreiceadain from Kingussie,https://www.walkhighlands.co.uk/cairngorms/carn-an-fhreiceadain.shtml,4,5,18,682,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,57.0808,-4.0549,1734,NA
Càrn Bàn,842m,NA,Càrn Ban via Alladale,https://www.walkhighlands.co.uk/sutherland/carn-ban-alladale.shtml,11,12,38.5,935,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,57.8653,-4.5902,582,NA
Càrn Chuinneag,839m,NA,"Càrn Chuinneag, from Glencalvie Lodge",https://www.walkhighlands.co.uk/sutherland/carn-chuinneag.shtml,5.5,6.5,18.5,769,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,57.8653,-4.5905,930,NA
Càrn Dearg (North of Gleann Eachach),815m,NA,The Càrn Dearg Eachachs from Glen Roy,https://www.walkhighlands.co.uk/fortwilliam/carn-deargs-eachach.shtml,5.5,6,14,767,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,56.9812,-4.7431,854,NA
Càrn Dearg (South of Gleann Eachach),768m,NA,The Càrn Dearg Eachachs from Glen Roy,https://www.walkhighlands.co.uk/fortwilliam/carn-deargs-eachach.shtml,5.5,6,14,767,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,56.9812,-4.7431,848,NA
Càrn Dearg - Glen Roy,834m,NA,Càrn Dearg from Glen Roy,https://www.walkhighlands.co.uk/fortwilliam/carn-dearg-bhrunachain.shtml,4,6,9,674,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.9793,-4.7487,791,NA
