munro,height_wh,height_dobih,height_diff,region,xcoord,ycoord,grid_ref,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent,first_route_title,site_key,time,scramble_exposed,wet
Ruadh-stac Mòr,1010,1010,0,Torridon,195142,861152,NG951611,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7,9,18,1116,Beinn Eighe via Coire Mhic Fhearchair,NG951611,8,Both,Neither
Sgòrr Ruadh,962,960.7,1.2999999999999545,Torridon,195907,850506,NG959505,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,6.5,7,16,931,Sgòrr Ruadh from Achnashellach,NG959505,6.75,Scramble,Large river
Beinn Liath Mhòr,926,926,0,Torridon,196409,851982,NG964519,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,7,8,15.25,1054,Beinn Liath Mhòr from Achnashellach,NG964519,7.5,Scramble,Neither
Spidean Coire nan Clach,993,993,0,Torridon,196615,859780,NG966597,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7,9,18,1116,Beinn Eighe via Coire Mhic Fhearchair,NG966597,8,Both,Neither
Sgùrr na Càrnach,1002,1002,0,Kintail,197715,815891,NG977158,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,15,1385,Five Sisters of Kintail traverse,NG977158,9,Scramble,Boggy
Sgùrr Fhuaran,1067,1068.8,1.7999999999999545,Kintail,197849,816678,NG978166,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,15,1385,Five Sisters of Kintail traverse,NG978166,9,Scramble,Boggy
Sgùrr a' Mhaoraich,1027,1027,0,Fort William,198392,806581,NG983065,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,7,14,1077,Sgùrr a'Mhaoraich from Loch Cuaich,NG983065,6,Neither,Neither
Creag nan Dàmh,918,917.2,0.7999999999999545,Kintail,198348,811202,NG983112,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,26.75,1818,South Glen Shiel Ridge walk,NG983112,10,Scramble,Boggy
Sgùrr na Ciste Duibhe,1027,1027,0,Kintail,198401,814953,NG984149,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,15,1385,Five Sisters of Kintail traverse,NG984149,9,Scramble,Boggy
Slioch,981,981,0,Torridon,200468,869076,NH004690,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,9,19,1144,Slioch from Kinlochewe,NH004690,8.5,Neither,Boggy
Sgùrr an Lochain,1004,1004,0,Kintail,200583,810428,NH005104,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,26.75,1818,South Glen Shiel Ridge walk,NH005104,10,Scramble,Boggy
A' Mhaighdean,967,967,0,Ullapool,200776,874913,NH007749,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,12,18,29,2254,"The Fisherfield 6, from Shenavall",NH007749,15,Scramble,Both
A' Ghlas-bheinn,918,918,0,Kintail,200822,823104,NH008231,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,7,9,21,1196,a' Ghlas Bheinn and the Falls of Glomach from Morvich,NH008231,8,Neither,Large river
Sgùrr an Doire Leathain,1010,1010,0,Kintail,201524,809890,NH015098,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,26.75,1818,South Glen Shiel Ridge walk,NH015098,10,Scramble,Boggy
Sàileag,956,956,0,Kintail,201774,814827,NH017148,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,10,1274,Sgùrr a Bhealaich Dheirg and the Brothers of Kintail,NH017148,7,Neither,Boggy
Beinn Fhada,1032,1031.9,0.09999999999990905,Kintail,201856,819254,NH018192,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,7,16.75,1234,Beinn Fhada from Morvich,NH018192,6.5,Both,Both
Ruadh Stac Mòr,918,918.7,0.7000000000000455,Ullapool,201853,875655,NH018756,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,12,18,29,2254,"The Fisherfield 6, from Shenavall",NH018756,15,Scramble,Both
Maol chinn-dearg,981,980.3,0.7000000000000455,Kintail,203221,808769,NH032087,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,26.75,1818,South Glen Shiel Ridge walk,NH032087,10,Scramble,Boggy
Sgùrr a' Bhealaich Dheirg,1036,1036,0,Kintail,203517,814360,NH035143,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,10,1274,Sgùrr a Bhealaich Dheirg and the Brothers of Kintail,NH035143,7,Neither,Boggy
Gleouraich,1035,1035,0,Fort William,203945,805345,NH039053,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,7,12,1130,Gleouraich & Spidean Mialach,NH039053,6,Neither,Boggy
Beinn Tarsuinn,937,933.8,3.2000000000000455,Ullapool,203960,872794,NH039727,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,12,18,29,2254,"The Fisherfield 6, from Shenavall",NH039727,15,Scramble,Both
Aonach Meadhoin,1001,1001,0,Kintail,204882,813760,NH048137,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,10,1274,Sgùrr a Bhealaich Dheirg and the Brothers of Kintail,NH048137,7,Neither,Boggy
Bidein a' Choire Sheasgaich,945,945,0,Torridon,204906,841265,NH049412,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,16,38,1530,"Lurg Mhòr and Bidein a' Choire Sheasgaich, from Attadale via Bendronaig Lodge",NH049412,16,Both,Neither
Aonach Air Chrith,1021,1019.5,1.5,Kintail,205103,808354,NH051083,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,26.75,1818,South Glen Shiel Ridge walk,NH051083,10,Scramble,Boggy
Mullach Coire Mhic Fhearchair,1019,1015.2,3.7999999999999545,Ullapool,205206,873511,NH052735,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,12,18,29,2254,"The Fisherfield 6, from Shenavall",NH052735,15,Scramble,Both
Sgùrr Bàn,989,989,0,Ullapool,205581,874554,NH055745,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,12,18,29,2254,"The Fisherfield 6, from Shenavall",NH055745,15,Scramble,Both
Sgùrr nan Ceathreamhnan,1151,1151,0,Loch Ness,205702,822851,NH057228,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,20,1484,Sgùrr nan Ceathreamhnan Munros from Alltbeithe,NH057228,10,Neither,Boggy
