munro,height_wh,height_dobih,height_diff,region,xcoord,ycoord,grid_ref,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent,first_route_title,site_key,time,scramble_exposed,wet
Sgùrr nan Coireachan,953,953.8,0.7999999999999545,Fort William,193308,795827,NM933958,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,10,12,26,1523,Sgùrr na Cìche Munros from Loch Arkaig,NM933958,11,Scramble,Both
Sgùrr Thuilm,963,963,0,Fort William,193906,787980,NM939879,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,9,12,23.5,1428,Sgùrr Thuilm & Sgùrr nan Coireachan,NM939879,10.5,Neither,Boggy
Sgùrr Mòr,1003,1003,0,Fort William,196535,798041,NM965980,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,9,11,24,1510,Sgùrr Mòr and Sgùrr an Fhuarain from Loch Arkaig,NM965980,10,Neither,Both
Gulvain,987,987,0,Fort William,200268,787575,NN002875,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,21,1228,Gulvain via Gleann Fionnlighe,NN002875,8,Neither,Boggy
Gairich,919,919,0,Fort William,202589,799580,NN025995,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,9,11,24,1510,Sgùrr Mòr,NN025995,10,Neither,Both
Sgòrr Dhònuill,1001,1001,0,Fort William,204058,755540,NN040555,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,7,9,15.5,1387,Beinn a' Bheithir via Schoolhouse Ridge,NN040555,8,Both,Boggy
Beinn Sgulaird,937,937,0,Argyll,205303,746088,NN053460,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,8,13,1240,Beinn Sgulaird from Loch Creran,NN053460,7,Scramble,Neither
Sgòrr Dhearg,1024,1024,0,Fort William,205684,755846,NN056558,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,7,9,15.5,1387,Beinn a' Bheithir via Schoolhouse Ridge,NN056558,8,Both,Boggy
Ben Cruachan,1126,1127,1,Argyll,206962,730472,NN069304,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,8,9,13.75,1376,Ben Cruachan and Stob Dàimh circuit,NN069304,8.5,Scramble,Boggy
Stob Daimh,998,999.2,1.2000000000000455,Argyll,209482,730858,NN094308,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,8,9,13.75,1376,Ben Cruachan and Stob Daimh circuit,NN094308,8.5,Scramble,Boggy
Beinn Fhionnlaidh,959,959,0,Argyll,209508,749769,NN095497,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,6,14.5,980,"Beinn Fhionnlaidh from Elleric, Glen Creran",NN095497,5.5,Neither,Boggy
Beinn a' Chochuill,980,980,0,Argyll,210978,732848,NN109328,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.5,6.5,13.5,1221,Beinn Eunaich and Beinn a' Chochuill from near Dalmally,NN109328,6,Neither,Neither
Sgòr na h-Ulaidh,994,994,0,Fort William,211117,751794,NN111517,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,9,15.5,1292,Sgòr na h-Ulaidh and Meall Ligiche from Glen Coe,NN111517,8,Neither,Both
Mullach nan Coirean,939,939.3,0.2999999999999545,Fort William,212233,766243,NN122662,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,8,13,1155,"Stob Bàn and Mullach nan Coirean from Polldubh, Glen Nevis",NN122662,7,Neither,Boggy
Ben Starav,1078,1079.5,1.5,Fort William,212576,742714,NN125427,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,8,9,16,1423,Ben Starav and Glas Bheinn Mhòr from Glen Etive,NN125427,8.5,Scramble,Boggy
Beinn Eunaich,989,989,0,Argyll,213562,732797,NN135327,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.5,6.5,13.5,1221,Beinn Eunaich and Beinn a' Chochuill from near Dalmally,NN135327,6,Neither,Neither
Sgòrr nam Fiannaidh,967,967.7,0.7000000000000455,Fort William,214044,758304,NN140583,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,9.5,1100,The Aonach Eagach ridge from Glencoe,NN140583,8.5,Both,Neither
Bidean nam Bian,1150,1149.4,0.599999999999909,Fort William,214341,754211,NN143542,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,11,1316,Bidean nam Bian via Coire nan Lochain and the Lost Valley,NN143542,8,Scramble,Boggy
Stob Bàn,999,999.7,0.7000000000000455,Fort William,214777,765443,NN147654,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,8,13,1155,"Stob Bàn and Mullach nan Coirean from Polldubh, Glen Nevis",NN147654,7,Neither,Boggy
Beinn nan Aighenan,960,960,0,Fort William,214851,740528,NN148405,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,15.75,1320,Beinn nan Aighenan from Glen Etive,NN148405,8,Neither,Boggy
Glas Bheinn Mhòr,997,997.7,0.7000000000000455,Fort William,215327,742982,NN153429,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,8,9,16,1423,Ben Starav and Glas Bheinn Mhòr from Glen Etive,NN153429,8.5,Scramble,Boggy
Stob Coire Sgreamhach,1072,1072,0,Fort William,215487,753664,NN154536,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,11,1316,Bidean nam Bian range via Coire nan Lochain and the Lost Valley,NN154536,8,Scramble,Boggy
Meall Dearg,953,952.3,0.7000000000000455,Fort William,216124,758363,NN161583,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,9.5,1100,The Aonach Eagach ridge from Glencoe,NN161583,8.5,Both,Neither
Sgùrr a' Mhàim,1099,1099,0,Fort William,216465,766730,NN164667,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,12,16,1676,The Ring of Steall,NN164667,10.5,Both,Both
Ben Nevis,1345,1344.53,0.4700000000000273,Fort William,216666,771288,NN166712,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7,9,17,1352,Ben Nevis via the Mountain Path,NN166712,8,Neither,Neither
Stob Coir an Albannaich,1044,1044,0,Fort William,216952,744303,NN169443,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,18,1327,Stob Coir an Albannaich and Meall nan Eun from Glen Etive,NN169443,8,Neither,Boggy
Am Bodach,1032,1031.8,0.20000000000004547,Fort William,217637,765097,NN176650,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,12,16,1676,The Ring of Steall,NN176650,10.5,Both,Both
Càrn Mòr Dearg,1220,1220,0,Fort William,217748,772172,NN177721,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,10,11,17.5,1506,Ben Nevis via the Càrn Mòr Dearg Arête,NN177721,10.5,Scramble,Both
Stob Dubh,956,958,2,Fort William,217910,753541,NN179535,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,8,900,Buachaille Etive Beag,NN179535,5.5,Neither,Neither
Stob Coire a' Chàirn,981,981.3,0.2999999999999545,Fort William,218561,766063,NN185660,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,12,16,1676,The Ring of Steall,NN185660,10.5,Both,Both
An Gearanach,982,981.5,0.5,Fort William,218770,766992,NN187669,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,12,16,1676,The Ring of Steall,NN187669,10.5,Both,Both
Stob na Bròige,956,953.4,2.6000000000000227,Fort William,219072,752568,NN190525,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,7,9,13,1110,Buachaille Etive Mòr ridge from Altnafeadh,NN190525,8,Scramble,Boggy
Stob Coire Raineach,925,924.5,0.5,Fort William,219140,754796,NN191547,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,8,900,Buachaille Etive Beag,NN191547,5.5,Neither,Neither
Meall nan Eun,928,928,0,Fort William,219248,744903,NN192449,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,18,1327,Stob Coir an Albannaich and Meall nan Eun from Glen Etive,NN192449,8,Neither,Boggy
Aonach Mòr,1221,1220.4,0.599999999999909,Fort William,219306,772962,NN193729,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,16.5,1430,Aonach Beag and Aonach Mòr from Glen Nevis,NN193729,9,Neither,Boggy
Aonach Beag,1234,1234,0,Fort William,219707,771502,NN197715,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,16.5,1430,Aonach Beag and Aonach Mòr from Glen Nevis,NN197715,9,Neither,Boggy
Beinn Bhuidhe,948,948.5,0.5,Argyll,220368,718717,NN203187,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,7,8,21.5,955,Beinn Bhuidhe via Glen Fyne,NN203187,7.5,Scramble,Boggy
Na Gruagaichean,1056,1054.3,1.7000000000000455,Fort William,220307,765200,NN203652,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,9,14,1336,Binnein Mòr and Na Gruagaichean,NN203652,8,Neither,Neither
Binnein Mòr,1130,1130,0,Fort William,221219,766352,NN212663,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,9,14,1336,Binnein Mòr and Na Gruagaichean,NN212663,8,Neither,Neither
Meall na Teanga,918,916.8,1.2000000000000455,Fort William,222023,792471,NN220924,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,9,19,1258,Sròn a' Choire Ghairbh & Meall na Teanga,NN220924,8,Neither,Neither
Binnein Beag,943,943,0,Fort William,222173,767714,NN221677,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,20,1582,Sgùrr Èilde Mòr and Binnein Beag from Kinlochleven,NN221677,10,Scramble,Boggy
Stob Dearg,1021,1021.4,0.39999999999997726,Fort William,222265,754254,NN222542,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,7,9,13,1110,Buachaille Etive Mòr ridge from Altnafeadh,NN222542,8,Scramble,Boggy
Sròn a' Choire Ghairbh,937,937,0,Fort William,222247,794560,NN222945,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,9,19,1258,Sròn a' Choire Ghairbh & Meall na Teanga,NN222945,8,Neither,Neither
Sgùrr Chòinnich Mòr,1094,1094,0,Fort William,222771,771419,NN227714,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,9,10,21.5,1544,The Grey Corries ridge,NN227714,9.5,Neither,Boggy
Stob Ghabhar,1090,1090,0,Argyll,223017,745515,NN230455,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,8,9,16,1239,Stob Ghabhar & Stob a' Choire Odhair from Victoria Bridge,NN230455,8.5,Scramble,Both
Sgùrr Èilde Mòr,1010,1010,0,Fort William,223054,765788,NN230657,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,20,1582,Sgùrr Èilde Mòr and Binnein Beag from Kinlochleven,NN230657,10,Scramble,Boggy
Creise,1100,1099.8,0.20000000000004547,Fort William,223854,750645,NN238506,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,5,7,10.5,1093,Meall a'Bhùiridh and Creise from the White Corries ski centre,NN238506,6,Both,Boggy
Stob Coire an Laoigh,1116,1116,0,Fort William,223984,772532,NN239725,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,9,10,21.5,1544,The Grey Corries ridge,NN239725,9.5,Neither,Boggy
Beinn a' Chlèibh,916,916.3,0.2999999999999545,Argyll,225054,725606,NN250256,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,7,10,1078,Ben Lui and Beinn a' Chlèibh from Glen Lochay,NN250256,6,Neither,Both
Meall a' Bhùiridh,1108,1107.9,0.09999999999990905,Fort William,225063,750346,NN250503,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,5,7,10.5,1093,Meall a' Bhùiridh and Creise from the White Corries ski centre,NN250503,6,Both,Boggy
Beinn Ìme,1011,1012.2,1.2000000000000455,Loch Lomond,225497,708488,NN254084,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,13.5,1325,Beinn Ìme and Beinn Narnain from Arrochar,NN254084,6.5,Scramble,Boggy
Stob a' Choire Odhair,945,945,0,Argyll,225731,745982,NN257459,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,8,9,16,1239,Stob Ghabhar & Stob a' Choire Odhair from Victoria Bridge,NN257459,8.5,Scramble,Both
Stob Choire Claurigh,1177,1177,0,Fort William,226196,773878,NN261738,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,9,10,21.5,1544,The Grey Corries ridge,NN261738,9.5,Neither,Boggy
Ben Lui,1130,1131.4,1.400000000000091,Argyll,226635,726296,NN266262,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,7,10,1078,Ben Lui and Beinn a' Chlèibh from Glen Lochay,NN266262,6,Neither,Both
Stob Bàn,977,977,0,Fort William,226669,772395,NN266723,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,18,852,Stob Bàn (Grey Corries) from above Corriechoille,NN266723,6.5,Neither,Boggy
Beinn Narnain,926,927,1,Loch Lomond,227168,706655,NN271066,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,13.5,1325,Beinn Ìme and Beinn Narnain from Arrochar,NN271066,6.5,Scramble,Boggy
Ben Vane,915,915.76,0.7599999999999909,Loch Lomond,227753,709844,NN277098,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4.5,6.5,11,930,Ben Vane from Inveruglas,NN277098,5.5,Scramble,Boggy
Ben Oss,1029,1029,0,Argyll,228761,725348,NN287253,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,8,17,1230,Ben Oss and Beinn Dubhchraig from Dalrigh,NN287253,7.5,Neither,Boggy
Ben Vorlich,943,943,0,Loch Lomond,229509,712474,NN295124,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6.5,13.5,945,Ben Vorlich from Inveruglas via Loch Sloy,NN295124,5.75,Neither,Neither
Beinn Dubhchraig,978,978,0,Argyll,230763,725493,NN307254,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,8,17,1230,Ben Oss and Beinn Dubhchraig from Dalrigh,NN307254,7.5,Neither,Boggy
Stob Coire Easain,1115,1115,0,Fort William,230802,773066,NN308730,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,16.5,1172,The Easains ridge from near Fersit,NN308730,7.5,Neither,Boggy
Stob a' Choire Mheadhoin,1106,1105,1,Fort William,231652,773643,NN316736,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,16.5,1172,The Easains ridge from near Fersit,NN316736,7.5,Neither,Boggy
Beinn Dòrain,1076,1076,0,Argyll,232554,737855,NN325378,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,9,21.5,1266,Beinn Achaladair and Beinn a' Chreachain,NN325378,8,Neither,Both
Beinn an Dòthaidh,1004,1004,0,Argyll,233178,740868,NN331408,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,9,21.5,1266,Beinn Achaladair and Beinn a' Chreachain,NN331408,8,Neither,Both
Beinn Achaladair,1038,1038.6,0.599999999999909,Argyll,234468,743242,NN344432,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,9,21.5,1266,Beinn Achaladair and Beinn a' Chreachain from Achaladair Farm,NN344432,8,Neither,Both
Stob Coire Sgriodain,979,979,0,Fort William,235669,774381,NN356743,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,7,13.5,915,Chno Dearg and Stob Coire Sgriodain from Fersit,NN356743,6.5,Neither,Boggy
Beinn Teallach,915,914.6,0.39999999999997726,Fort William,236136,785973,NN361859,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,8,16,1172,Beinn a' Chaorainn & Beinn Teallach from Glen Spean,NN361859,7,Neither,Boggy
Ben Lomond,974,973.7,0.2999999999999545,Loch Lomond,236707,702863,NN367028,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.5,5.5,12,990,Ben Lomond from Rowardennan,NN367028,5,Neither,Neither
Beinn Chabhair,933,932.2,0.7999999999999545,Loch Lomond,236760,717957,NN367179,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6.5,13,948,Beinn Chabhair from Inverarnan,NN367179,5.75,Neither,Boggy
Beinn Mhanach,953,953,0,Argyll,237371,741140,NN373411,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,6.5,7.5,23.5,920,Beinn Mhanach via the Auch Gleann,NN373411,7,Neither,Both
Beinn a' Chreachain,1081,1080.6,0.40000000000009095,Argyll,237387,744075,NN373440,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,9,21.5,1266,Beinn Achaladair and Beinn a' Chreachain from Achaladair Farm,NN373440,8,Neither,Both
Beinn na Lap,937,935,2,Fort William,237616,769585,NN376695,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,5,10,562,Beinn na Lap from Corrour Station,NN376695,4,Neither,Boggy
Chno Dearg,1046,1046,0,Fort William,237741,774115,NN377741,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,7,13.5,915,Chno Dearg and Stob Coire Sgriodain from Fersit,NN377741,6.5,Neither,Boggy
An Caisteal,995,995.9,0.8999999999999773,Loch Lomond,237873,719343,NN378193,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5.5,7,14,1045,An Caisteal and Beinn a' Chròin from Glen Falloch,NN378193,6.25,Scramble,Boggy
Ben Challum,1025,1025,0,Argyll,238685,732235,NN386322,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,7,11.5,910,Ben Challum from Kirkton Farm,NN386322,6,Neither,Boggy
Beinn a' Chaorainn,1050,1049.1,0.900000000000091,Fort William,238605,785062,NN386850,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,8,16,1172,Beinn a' Chaorainn & Beinn Teallach from Glen Spean,NN386850,7,Neither,Boggy
Beinn a' Chròin,942,941.4,0.6000000000000227,Loch Lomond,238755,718573,NN387185,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5.5,7,14,1045,An Caisteal and Beinn a' Chròin from Glen Falloch,NN387185,6.25,Scramble,Boggy
Creag Mhòr,1047,1046.8,0.20000000000004547,Perthshire,239150,736111,NN391361,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,9,11,25.75,1470,Beinn Heasgarnich and Creag Mhòr from Glen Lochay,NN391361,10,Neither,Both
Cruach Àrdrain,1046,1045.9,0.09999999999990905,Loch Lomond,240927,721215,NN409212,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,12.5,1019,Cruach Àrdrain and Beinn Tulaichean from Inverlochlarig,NN409212,6.5,Neither,Boggy
Beinn Heasgarnich,1078,1077.4,0.599999999999909,Perthshire,241380,738339,NN413383,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,9,11,25.75,1470,Beinn Heasgarnich and Creag Mhòr from Glen Lochay,NN413383,10,Neither,Both
Beinn Tulaichean,946,945.8,0.20000000000004547,Loch Lomond,241660,719604,NN416196,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,12.5,1019,Cruach Àrdrain and Beinn Tulaichean from Inverlochlarig,NN416196,6.5,Neither,Boggy
Càrn Dearg,941,941,0,Fort William,241773,766143,NN417661,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,21.75,973,Càrn Dearg and Sgòr Gaibhre from Corrour Station,NN417661,7.5,Neither,Boggy
Creag Meagaidh,1130,1128.1,1.900000000000091,Fort William,241839,787545,NN418875,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,21,1080,Creag Meagaidh Munros circuit,NN418875,9,Neither,Boggy
Stob Poite Coire Àrdair,1054,1054,0,Fort William,242884,788845,NN428888,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,21,1080,Creag Meagaidh Munros circuit,NN428888,9,Neither,Boggy
Meall Glas,959,959,0,Loch Lomond,243148,732194,NN431321,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,15.5,1182,Sgiath Chùil and Meall Glas from Glen Dochart,NN431321,8,Neither,Boggy
Ben More,1174,1174,0,Loch Lomond,243276,724417,NN432244,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,12,1335,Ben More and Stob Binnein from Benmore Farm,NN432244,7,Scramble,Boggy
Stob Binnein,1165,1165,0,Loch Lomond,243481,722712,NN434227,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,12,1335,Ben More and Stob Binnein from Benmore Farm,NN434227,7,Scramble,Boggy
Sgòr Gaibhre,955,955,0,Fort William,244477,767448,NN444674,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,21.75,973,Càrn Dearg and Sgòr Gaibhre from Corrour Station,NN444674,7.5,Neither,Boggy
Beinn Èibhinn,1102,1103.3,1.2999999999999545,Cairngorms,244965,773302,NN449733,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,8,9,18.5,1110,"Aonach Beag, Geal Chàrn, Beinn Èibhinn and Càrn Dearg from Culra",NN449733,8.5,Both,Boggy
Aonach Beag,1116,1115.8,0.20000000000004547,Cairngorms,245786,774190,NN457741,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,8,9,18.5,1110,"Aonach Beag, Geal Chàrn, Beinn Èibhinn and Càrn Dearg from Culra",NN457741,8.5,Both,Boggy
Sgiath Chùil,921,920.1,0.8999999999999773,Loch Lomond,246290,731793,NN462317,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,15.5,1182,Sgiath Chùil and Meall Glas from Glen Dochart,NN462317,8,Neither,Boggy
Geal-chàrn,1132,1132,0,Cairngorms,246992,774629,NN469746,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,8,9,18.5,1110,"Aonach Beag, Geal Chàrn, Beinn Èibhinn and Càrn Dearg from Culra",NN469746,8.5,Both,Boggy
Beinn a' Chlachair,1087,1087,0,Fort William,247122,778155,NN471781,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,26,1275,"Beinn a' Chlachair, Geal Chàrn & Creag Pitridh from Loch Laggan",NN471781,9,Scramble,Boggy
Càrn Liath,1006,1006,0,Fort William,247229,790325,NN472903,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,21,1080,Creag Meagaidh Munros circuit,NN472903,9,Neither,Boggy
Stùcd an Lochain,960,960,0,Perthshire,248305,744840,NN483448,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3.5,4.5,8.5,726,Stuchd an Lochain from Loch an Dàimh,NN483448,4,Neither,Boggy
Creag Pitridh,924,924,0,Fort William,248752,781459,NN487814,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,26,1275,"Beinn a' Chlachair, Geal Chàrn & Creag Pitridh from Loch Laggan",NN487814,9,Scramble,Boggy
Ben Alder,1148,1148,0,Cairngorms,249616,771855,NN496718,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,7,8,17,1021,"Ben Alder via the Long Leachas, with Beinn Bheòil",NN496718,7.5,Scramble,Large river
Meall Buidhe,932,932.1,0.10000000000002274,Perthshire,249838,749946,NN498499,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2.5,3.5,8.5,551,Meall Buidhe from Loch an Dàimh,NN498499,3,Neither,Boggy
Càrn Dearg,1034,1034,0,Cairngorms,250416,776444,NN504764,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,8,9,18.5,1110,"Aonach Beag, Geal Chàrn, Beinn Èibhinn and Càrn Dearg from Culra",NN504764,8.5,Both,Boggy
Geal chàrn,1049,1049,0,Fort William,250432,781181,NN504811,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,26,1275,"Beinn a' Chlachair, Geal Chàrn & Creag Pitridh from Loch Laggan",NN504811,9,Scramble,Boggy
Meall Ghaordaidh,1039,1039.8,0.7999999999999545,Perthshire,251442,739704,NN514397,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,6,9.5,895,Meall Ghaordaidh from Glen Lochay,NN514397,5,Neither,Boggy
Beinn Bheoil,1019,1019,0,Cairngorms,251716,771722,NN517717,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,7,8,17,1021,"Ben Alder via the Long Leachas, with Beinn Bheoil",NN517717,7.5,Scramble,Large river
Geal Chàrn,926,926,0,Cairngorms,256144,798768,NN561987,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,6,12.5,625,Geal Chàrn from Garva Bridge,NN561987,5.5,Neither,Both
Beinn Udlamain,1010,1010.2,0.20000000000004547,Cairngorms,257945,773975,NN579739,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,15.75,783,Beinn Udlamain and Sgàirneach Mhòr from Drumochter Pass,NN579739,6.5,Neither,Boggy
Meall nan Tarmachan,1044,1043.6,0.40000000000009095,Perthshire,258518,738998,NN585389,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,7,13,783,The Tarmachan Ridge,NN585389,6,Scramble,Boggy
Geal-chàrn,917,917.1,0.10000000000002274,Cairngorms,259644,778261,NN596782,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,15.75,783,Beinn Udlamain and Sgàirneach Mhòr,NN596782,6.5,Neither,Boggy
Sgàirneach Mhòr,991,991,0,Cairngorms,259882,773130,NN598731,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,15.75,783,Beinn Udlamain and Sgàirneach Mhòr from Drumochter Pass,NN598731,6.5,Neither,Boggy
A' Mharconaich,975,973.2,1.7999999999999545,Cairngorms,260423,776293,NN604762,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,15.75,783,Beinn Udlamain and Sgàirneach Mhòr,NN604762,6.5,Neither,Boggy
Meall a' Choire Lèith,926,925.6,0.39999999999997726,Perthshire,261249,743882,NN612438,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6,9.5,740,Meall Corranaich and Meall a' Choire Lèith from the Lairig an Lochain,NN612438,5.5,Neither,Boggy
Meall Corranaich,1069,1069,0,Perthshire,261534,741047,NN615410,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6,9.5,740,Meall Corranaich and Meall a' Choire Lèith from the Lairig an Lochain,NN615410,5.5,Neither,Boggy
Stùc a' Chròin,975,973,2,Perthshire,261746,717465,NN617174,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,14.5,1145,Ben Vorlich and Stùc a' Chròin from Ardvorlich,NN617174,6.5,Scramble,Boggy
Beinn Ghlas,1103,1103,0,Perthshire,262529,740463,NN625404,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,6,11,942,Ben Lawers and Beinn Ghlas,NN625404,5,Exposed,Neither
Ben Vorlich,985,985.3,0.2999999999999545,Perthshire,262912,718916,NN629189,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,14.5,1145,Ben Vorlich and Stùc a' Chròin from Ardvorlich,NN629189,6.5,Scramble,Boggy
Ben Lawers,1214,1214,0,Perthshire,263553,741424,NN635414,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,6,11,942,Ben Lawers and Beinn Ghlas,NN635414,5,Exposed,Neither
Càrn Gorm,1029,1029,0,Perthshire,263516,750071,NN635500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,8,17.5,1330,Càrn Mairg circuit from Invervar,NN635500,7.5,Neither,Neither
An Stùc,1118,1117.1,0.900000000000091,Perthshire,263890,743103,NN638431,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,16.5,1230,Circuit of Coire nan Cat,NN638431,7.5,Scramble,Boggy
Meall Garbh,1118,1123.1,5.099999999999909,Perthshire,264437,743757,NN644437,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,16.5,1230,Circuit of Coire nan Cat,NN644437,7.5,Scramble,Boggy
