munro,region,height,first_route_title,first_route_url,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent
Beinn a' Chlachair,Fort William,1087,"Beinn a' Chlachair, Geal Chàrn & Creag Pitridh from Loch Laggan",https://www.walkhighlands.co.uk/fortwilliam/beinn-a-chlachair.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,26,1275
Beinn a' Chlèibh,Argyll,916,Ben Lui and Beinn a' Chlèibh from Glen Lochay,https://www.walkhighlands.co.uk/argyll/ben-lui.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,7,10,1078
Beinn a' Chochuill,Argyll,980,Beinn Eunaich and Beinn a' Chochuill from near Dalmally,https://www.walkhighlands.co.uk/argyll/beinn-eunaich.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.5,6.5,13.5,1221
Beinn a' Chreachain,Argyll,1081,Beinn Achaladair and Beinn a' Chreachain from Achaladair Farm,https://www.walkhighlands.co.uk/argyll/beinn-achaladair.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,9,21.5,1266
Beinn a' Chròin,Loch Lomond,942,An Caisteal and Beinn a' Chròin from Glen Falloch,https://www.walkhighlands.co.uk/lochlomond/an-caisteal.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5.5,7,14,1045
Beinn Achaladair,Argyll,1038,Beinn Achaladair and Beinn a' Chreachain from Achaladair Farm,https://www.walkhighlands.co.uk/argyll/beinn-achaladair.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,9,21.5,1266
Beinn an Dòthaidh,Argyll,1004,Beinn Achaladair and Beinn a' Chreachain,http://www.walkhighlands.co.uk/argyll/beinn-achaladair.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,9,21.5,1266
Beinn Bheoil,Cairngorms,1019,"Ben Alder via the Long Leachas, with Beinn Bheoil",https://www.walkhighlands.co.uk/cairngorms/ben-alder.shtml,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,7,8,17,1021
Beinn Bhreac,Cairngorms,931,Beinn a' Chaorainn and Beinn Bhreac from Linn of Dee,https://www.walkhighlands.co.uk/cairngorms/beinn-a-chaorainn.shtml,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,8,10,29,878
Beinn Bhrotain,Cairngorms,1157,Beinn Bhrotain and Monadh Mòr from Glen Feshie,https://www.walkhighlands.co.uk/cairngorms/beinn-bhrotain.shtml,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,9,11,29,1505
Beinn Bhuidhe,Argyll,948,Beinn Bhuidhe via Glen Fyne,https://www.walkhighlands.co.uk/argyll/beinn-bhuidhe.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,7,8,21.5,955
Beinn Chabhair,Loch Lomond,933,Beinn Chabhair from Inverarnan,https://www.walkhighlands.co.uk/lochlomond/beinn-chabhair.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6.5,13,948
Beinn Dearg (Blair Atholl),Perthshire,1008,"Beinn Dearg from the Old Bridge of Tilt, Blair Atholl",https://www.walkhighlands.co.uk/perthshire/beinn-dearg.shtml,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,7,9,29,990
Beinn Dearg (Ullapool),Ullapool,1084,Beinn Dearg Munros circuit from Inverlael,https://www.walkhighlands.co.uk/ullapool/beinndearg.shtml,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,11,27,1569
Beinn Dòrain,Argyll,1076,Beinn Achaladair and Beinn a' Chreachain,http://www.walkhighlands.co.uk/argyll/beinn-achaladair.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,9,21.5,1266
Beinn Dubhchraig,Argyll,978,Ben Oss and Beinn Dubhchraig from Dalrigh,https://www.walkhighlands.co.uk/argyll/ben-oss.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,8,17,1230
Beinn Èibhinn,Cairngorms,1102,"Aonach Beag, Geal Chàrn, Beinn Èibhinn and Càrn Dearg from Culra",https://www.walkhighlands.co.uk/cairngorms/aonach-beag.shtml,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,8,9,18.5,1110
Beinn Eunaich,Argyll,989,Beinn Eunaich and Beinn a' Chochuill from near Dalmally,https://www.walkhighlands.co.uk/argyll/beinn-eunaich.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.5,6.5,13.5,1221
Beinn Fhada,Kintail,1032,Beinn Fhada from Morvich,https://www.walkhighlands.co.uk/kintail/Beinnfhada.shtml,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,7,16.75,1234
Beinn Fhionnlaidh,Argyll,959,"Beinn Fhionnlaidh from Elleric, Glen Creran",https://www.walkhighlands.co.uk/argyll/beinn-fhionnlaidh.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,6,14.5,980
Beinn Fhionnlaidh (Càrn Eige),Loch Ness,1005,"Càrn Eige, Mam Sodhail and Beinn Fhionnlaidh from Glen Affric",https://www.walkhighlands.co.uk/lochness/carn-eige.shtml,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,10,13,28,1727
Beinn Ghlas,Perthshire,1103,Ben Lawers and Beinn Ghlas,https://www.walkhighlands.co.uk/perthshire/ben-lawers.shtml,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,6,11,942
Beinn Heasgarnich,Perthshire,1078,Beinn Heasgarnich and Creag Mhòr from Glen Lochay,https://www.walkhighlands.co.uk/perthshire/beinn-heasgarnich.shtml,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,9,11,25.75,1470
Beinn Ìme,Loch Lomond,1011,Beinn Ìme and Beinn Narnain from Arrochar,https://www.walkhighlands.co.uk/lochlomond/beinn-ime.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,13.5,1325
Beinn Iutharn Mhòr,Cairngorms,1045,Beinn Iutharn Mhòr and Càrn Bhac from Inverey,https://www.walkhighlands.co.uk/cairngorms/beinn-iutharn-mhor.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,10,32,983
Beinn Liath Mhòr,Torridon,926,Beinn Liath Mhòr from Achnashellach,https://www.walkhighlands.co.uk/torridon/Beinnliathmhor.shtml,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,7,8,15.25,1054
