munro,region,height,first_route_title,first_route_url,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent
Càrn Liath (Beinn a' Ghlò),Perthshire,975,Beinn a' Ghlò from Loch Moraig,https://www.walkhighlands.co.uk/perthshire/beinn-a-ghlo.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8,10,22,1239
Càrn Liath (Creag Meagaidh),Fort William,1006,Creag Meagaidh Munros circuit,https://www.walkhighlands.co.uk/fortwilliam/creagmeagaidh.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,21,1080
Càrn Mairg,Perthshire,1042,Càrn Mairg circuit from Invervar,https://www.walkhighlands.co.uk/perthshire/carn-mairg.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,8,17.5,1330
Càrn Mòr Dearg,Fort William,1220,Ben Nevis via the Càrn Mòr Dearg Arête,https://www.walkhighlands.co.uk/fortwilliam/carnmordeargarete.shtml,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,10,11,17.5,1506
Càrn na Caim,Cairngorms,941,Càrn na Caim and A' Bhuidheanach Bheag from Drumochter,https://www.walkhighlands.co.uk/cairngorms/carn-na-caim.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6,19,824
Càrn nan Gabhar,Perthshire,1121,Beinn a' Ghlò from Loch Moraig,https://www.walkhighlands.co.uk/perthshire/beinn-a-ghlo.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8,10,22,1239
Càrn nan Gobhar (Loch Mullardoch),Loch Ness,992,The Loch Mullardoch Munros circuit,https://www.walkhighlands.co.uk/lochness/mullardoch-munros.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,11,14,29,1826
Càrn nan Gobhar (Strathfarrar),Loch Ness,992,Circuit of the Strathfarrar Munros,https://www.walkhighlands.co.uk/lochness/strathfarrar-munros.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,10,25,1567
Càrn Sgulain,Cairngorms,920,"The Monadhliath Munros: a' Chailleach, Càrn Sgulain and Càrn Dearg from Glen Banchor",https://www.walkhighlands.co.uk/cairngorms/monadhliath.shtml,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,8,10,24.5,946
Chno Dearg,Fort William,1046,Chno Dearg and Stob Coire Sgriodain from Fersit,https://www.walkhighlands.co.uk/fortwilliam/chnodearg.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,7,13.5,915
Ciste Dhubh,Kintail,979,Ciste Dhubh and Am Bathach from the Cluanie Inn,https://www.walkhighlands.co.uk/kintail/Cistedhubh.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,7,12.5,1040
Cona' Mheall,Ullapool,978,Beinn Dearg Munros circuit from Inverlael,https://www.walkhighlands.co.uk/ullapool/beinndearg.shtml,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,11,27,1569
Conival,Ullapool,987,Ben More Assynt and Conival from Inchnadamph,https://www.walkhighlands.co.uk/ullapool/benmoreassynt.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,8.5,10,17.25,1077
Creag a'Mhàim,Kintail,947,South Glen Shiel Ridge walk,https://www.walkhighlands.co.uk/kintail/Glenshielridge.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,26.75,1818
Creag Leacach,Cairngorms,987,Glas Maol Munros from the Cairnwell Pass,https://www.walkhighlands.co.uk/cairngorms/glas-maol.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6.5,7.5,19.25,891
Creag Meagaidh,Fort William,1130,Creag Meagaidh Munros circuit,https://www.walkhighlands.co.uk/fortwilliam/creagmeagaidh.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,21,1080
Creag Mhòr (Glen Lochay),Perthshire,1047,Beinn Heasgarnich and Creag Mhòr from Glen Lochay,https://www.walkhighlands.co.uk/perthshire/beinn-heasgarnich.shtml,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,9,11,25.75,1470
Creag Mhòr (Meall na Aighean),Perthshire,981,Càrn Mairg circuit from Invervar,https://www.walkhighlands.co.uk/perthshire/carn-mairg.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,8,17.5,1330
Creag nan Dàmh,Kintail,918,South Glen Shiel Ridge walk,https://www.walkhighlands.co.uk/kintail/Glenshielridge.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,26.75,1818
Creag Pitridh,Fort William,924,"Beinn a' Chlachair, Geal Chàrn & Creag Pitridh from Loch Laggan",https://www.walkhighlands.co.uk/fortwilliam/beinn-a-chlachair.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,26,1275
Creise,Fort William,1100,Meall a'Bhùiridh and Creise from the White Corries ski centre,https://www.walkhighlands.co.uk/fortwilliam/creise.shtml,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,5,7,10.5,1093
Cruach Àrdrain,Loch Lomond,1046,Cruach Àrdrain and Beinn Tulaichean from Inverlochlarig,https://www.walkhighlands.co.uk/lochlomond/cruach-ardrain.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,12.5,1019
Derry Cairngorm,Cairngorms,1155,Ben Macdui and Derry Cairngorm from the Linn of Dee,https://www.walkhighlands.co.uk/cairngorms/ben-macdui.shtml,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,9,11,29,1068
Driesh,Angus,947,Driesh and Mayar from Glen Doll,https://www.walkhighlands.co.uk/angus/mayar-driesh.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.5,5.5,14.5,835
Druim Shionnach,Kintail,987,South Glen Shiel Ridge walk,https://www.walkhighlands.co.uk/kintail/Glenshielridge.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,26.75,1818
Eididh nan Clach Geala,Ullapool,927,Beinn Dearg Munros circuit from Inverlael,https://www.walkhighlands.co.uk/ullapool/beinndearg.shtml,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,11,27,1569
Fionn Bheinn,Torridon,933,Fionn Bheinn from Achnasheen,https://www.walkhighlands.co.uk/torridon/Fionnbheinn.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6,12,807
Gairich,Fort William,919,Sgùrr Mòr,https://www.walkhighlands.co.uk/fortwilliam/sgurr-mor.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,9,11,24,1510
Garbh Chioch Mhòr,Fort William,1013,Sgùrr na Cìche Munros from Loch Arkaig,https://www.walkhighlands.co.uk/fortwilliam/sgurrnaciche.shtml,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,10,12,26,1523
Geal chàrn (Laggan),Fort William,1049,"Beinn a' Chlachair, Geal Chàrn & Creag Pitridh from Loch Laggan",https://www.walkhighlands.co.uk/fortwilliam/beinn-a-chlachair.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,26,1275
Geal Chàrn (Monadhliath),Cairngorms,926,Geal Chàrn from Garva Bridge,https://www.walkhighlands.co.uk/cairngorms/geal-charn.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,6,12.5,625
Geal-chàrn (Alder),Cairngorms,1132,"Aonach Beag, Geal Chàrn, Beinn Èibhinn and Càrn Dearg from Culra",https://www.walkhighlands.co.uk/cairngorms/aonach-beag.shtml,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,8,9,18.5,1110
Geal-chàrn (Drumochter),Cairngorms,917,Beinn Udlamain and Sgàirneach Mhòr,http://www.walkhighlands.co.uk/cairngorms/beinn-udlamain.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,15.75,783
Glas Bheinn Mhòr,Fort William,997,Ben Starav and Glas Bheinn Mhòr from Glen Etive,https://www.walkhighlands.co.uk/fortwilliam/benstarav.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,8,9,16,1423
Glas Maol,Cairngorms,1068,Glas Maol Munros from the Cairnwell Pass,https://www.walkhighlands.co.uk/cairngorms/glas-maol.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6.5,7.5,19.25,891
Glas Tulaichean,Perthshire,1051,Glas Tulaichean and Càrn an Rìgh from the Spittal of Glenshee,https://www.walkhighlands.co.uk/perthshire/glas-tulaichean.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,27,1085
Gleouraich,Fort William,1035,Gleouraich & Spidean Mialach,https://www.walkhighlands.co.uk/fortwilliam/spideanmialach.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,7,12,1130
Gulvain,Fort William,987,Gulvain via Gleann Fionnlighe,https://www.walkhighlands.co.uk/fortwilliam/gulvain.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,21,1228
Inaccessible Pinnacle,Isle of Skye,986,Sgùrr Dearg and the approach to the Inn Pinn,https://www.walkhighlands.co.uk/skye/innpinn.shtml,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6,8,8,1065
Ladhar Bheinn,Fort William,1020,"Ladhar Bheinn circuit via Aonach Sgoilite, from Inverie",https://www.walkhighlands.co.uk/fortwilliam/ladhar-bheinn.shtml,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,9,12,22.5,1399
Lochnagar,Cairngorms,1156,Lochnagar from Spittal of Glenmuick,https://www.walkhighlands.co.uk/cairngorms/lochnagar.shtml,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,7,19,930
Luinne Bheinn,Fort William,939,Luinne Bheinn and Meall Buidhe from Inverie,https://www.walkhighlands.co.uk/fortwilliam/luinne-bheinn.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,11,13,27,1586
Lurg Mhòr,Torridon,986,"Lurg Mhòr and Bidein a' Choire Sheasgaich, from Attadale via Bendronaig Lodge",https://www.walkhighlands.co.uk/torridon/bideinachoiresheasgaich.shtml,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,16,38,1530
Màm Sodhail,Loch Ness,1181,"Càrn Eige, Màm Sodhail and Beinn Fhionnlaidh from Glen Affric",https://www.walkhighlands.co.uk/lochness/carn-eige.shtml,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,10,13,28,1727
Maoile Lunndaidh,Torridon,1007,Maoile Lunndaidh from Achnashellach,https://www.walkhighlands.co.uk/torridon/maoilelunndaidh.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,11,26,1005
Maol Chean-dearg,Torridon,933,Maol Chean-dearg from Coulags,https://www.walkhighlands.co.uk/torridon/Maolcheandearg.shtml,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,7,14,932
Maol chinn-dearg,Kintail,981,South Glen Shiel Ridge walk,https://www.walkhighlands.co.uk/kintail/Glenshielridge.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,26.75,1818
Mayar,Angus,928,Driesh and Mayar from Glen Doll,https://www.walkhighlands.co.uk/angus/mayar-driesh.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.5,5.5,14.5,835
Meall a' Bhùiridh,Fort William,1108,Meall a' Bhùiridh and Creise from the White Corries ski centre,https://www.walkhighlands.co.uk/fortwilliam/creise.shtml,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,5,7,10.5,1093
Meall a' Choire Lèith,Perthshire,926,Meall Corranaich and Meall a' Choire Lèith from the Lairig an Lochain,https://www.walkhighlands.co.uk/perthshire/meall-corranaich.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6,9.5,740
Meall a' Chrasgaidh,Ullapool,934,Sgùrr nan Clach Geala ridge,https://www.walkhighlands.co.uk/ullapool/sgurrnanclachgeala.shtml,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7,9,18,1153
Meall Buidhe (Glen Lyon),Perthshire,932,Meall Buidhe from Loch an Dàimh,https://www.walkhighlands.co.uk/perthshire/meall-buidhe.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2.5,3.5,8.5,551
Meall Buidhe (Knoydart),Fort William,946,Luinne Bheinn and Meall Buidhe from Inverie,https://www.walkhighlands.co.uk/fortwilliam/luinne-bheinn.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,11,13,27,1586
Meall Chuaich,Cairngorms,951,Meall Chuaich from near Dalwhinnie,https://www.walkhighlands.co.uk/cairngorms/meall-chuaich.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,5,14,614
Meall Corranaich,Perthshire,1069,Meall Corranaich and Meall a' Choire Lèith from the Lairig an Lochain,https://www.walkhighlands.co.uk/perthshire/meall-corranaich.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6,9.5,740
Meall Dearg (Aonach Eagach),Fort William,953,The Aonach Eagach ridge from Glencoe,https://www.walkhighlands.co.uk/fortwilliam/aonacheagach.shtml,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,9.5,1100
Meall Garbh (Ben Lawers),Perthshire,1118,Circuit of Coire nan Cat,https://www.walkhighlands.co.uk/perthshire/meall-garbh.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,16.5,1230
Meall Garbh (Càrn Mairg),Perthshire,968,Càrn Mairg circuit from Invervar,https://www.walkhighlands.co.uk/perthshire/carn-mairg.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,8,17.5,1330
Meall Ghaordaidh,Perthshire,1039,Meall Ghaordaidh from Glen Lochay,https://www.walkhighlands.co.uk/perthshire/meall-ghaordaidh.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,6,9.5,895
Meall Glas,Loch Lomond,959,Sgiath Chùil and Meall Glas from Glen Dochart,https://www.walkhighlands.co.uk/lochlomond/meall-glas.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,15.5,1182
Meall Gorm,Ullapool,949,Sgùrr Mòr and the eastern Fannichs,https://www.walkhighlands.co.uk/ullapool/fannichs.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,24.75,1435
Meall Greigh,Perthshire,1001,Circuit of Coire nan Cat,https://www.walkhighlands.co.uk/perthshire/meall-garbh.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,16.5,1230
Meall na Teanga,Fort William,918,Sròn a' Choire Ghairbh & Meall na Teanga,https://www.walkhighlands.co.uk/fortwilliam/lochlochymunros.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,9,19,1258
Meall nan Ceapraichean,Ullapool,977,Beinn Dearg Munros circuit from Inverlael,https://www.walkhighlands.co.uk/ullapool/beinndearg.shtml,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,11,27,1569
Meall nan Eun,Fort William,928,Stob Coir an Albannaich and Meall nan Eun from Glen Etive,https://www.walkhighlands.co.uk/fortwilliam/stobcoiranalbannaich.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,18,1327
Meall nan Tarmachan,Perthshire,1044,The Tarmachan Ridge,https://www.walkhighlands.co.uk/perthshire/meall-nan-tarmachan.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,7,13,783
Monadh Mòr,Cairngorms,1113,Beinn Bhrotain and Monadh Mòr from Glen Feshie,https://www.walkhighlands.co.uk/cairngorms/beinn-bhrotain.shtml,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,9,11,29,1505
Moruisg,Torridon,928,Moruisg and Sgùrr nan Ceannaichean from Glen Carron,https://www.walkhighlands.co.uk/torridon/Moruisg.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,7,12,978
Mount Keen,Angus,939,"Mount Keen from Invermark, Glen Esk",https://www.walkhighlands.co.uk/angus/mount-keen.shtml,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5,6,17.5,681
Mullach an Rathain (Liathach),Torridon,1023,"Liathach traverse, Glen Torridon",https://www.walkhighlands.co.uk/torridon/Liathach.shtml,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8,10,11.5,1326
Mullach Clach a' Bhlàir,Cairngorms,1019,Mullach Clach a' Bhlàir from Glen Feshie,https://www.walkhighlands.co.uk/cairngorms/mullach-clach-a-bhlair.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6.5,7.5,21.75,870
Mullach Coire Mhic Fhearchair,Ullapool,1019,"The Fisherfield 6, from Shenavall",https://www.walkhighlands.co.uk/ullapool/fisherfield-6.shtml,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,12,18,29,2254
Mullach Fraoch-choire,Kintail,1102,a' Chralaig and Mullach Fraoch Choire from Cluanie,https://www.walkhighlands.co.uk/kintail/Achralaig.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,14.5,1150
Mullach na Dheiragain,Loch Ness,982,Sgùrr nan Ceathreamhnan Munros from Alltbeithe,https://www.walkhighlands.co.uk/lochness/Ceathreamhnan.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,20,1484
Mullach nan Coirean,Fort William,939,"Stob Bàn and Mullach nan Coirean from Polldubh, Glen Nevis",https://www.walkhighlands.co.uk/fortwilliam/stobban.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,8,13,1155
Na Gruagaichean,Fort William,1056,Binnein Mòr and Na Gruagaichean,https://www.walkhighlands.co.uk/fortwilliam/binneinmor.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,9,14,1336
Ruadh Stac Mòr,Ullapool,918,"The Fisherfield 6, from Shenavall",https://www.walkhighlands.co.uk/ullapool/fisherfield-6.shtml,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,12,18,29,2254
Ruadh-stac Mòr (Beinn Eighe),Torridon,1010,Beinn Eighe via Coire Mhic Fhearchair,https://www.walkhighlands.co.uk/torridon/Beinneighe.shtml,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7,9,18,1116
Sàil Chaorainn,Kintail,1002,Sgùrr nan Conbhairean from Loch Cluanie,https://www.walkhighlands.co.uk/kintail/sgurrnanconbhairean.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,8,17.5,1260
Sàileag,Kintail,956,Sgùrr a Bhealaich Dheirg and the Brothers of Kintail,https://www.walkhighlands.co.uk/kintail/Brothersridge.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,10,1274
Schiehallion,Perthshire,1083,Schiehallion from the Braes of Foss,https://www.walkhighlands.co.uk/perthshire/schiehallion.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,6,10,731
Seana Bhràigh,Ullapool,926,Seana Bhràigh from Inverlael,https://www.walkhighlands.co.uk/ullapool/seana-bhraigh.shtml,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,9,10,27,1095
Sgàirneach Mhòr,Cairngorms,991,Beinn Udlamain and Sgàirneach Mhòr from Drumochter Pass,https://www.walkhighlands.co.uk/cairngorms/beinn-udlamain.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,15.75,783
Sgiath Chùil,Loch Lomond,921,Sgiath Chùil and Meall Glas from Glen Dochart,https://www.walkhighlands.co.uk/lochlomond/meall-glas.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,15.5,1182
Sgòr an Lochain Uaine,Cairngorms,1258,Cairn Toul and Braeriach traverse,https://www.walkhighlands.co.uk/cairngorms/cairn-toul.shtml,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,13,13,36,1820
Sgòr Gaibhre,Fort William,955,Càrn Dearg and Sgòr Gaibhre from Corrour Station,https://www.walkhighlands.co.uk/fortwilliam/sgor-gaibhre.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,8,21.75,973
Sgòr Gaoith,Cairngorms,1118,Sgòr Gaoith from Glen Feshie,https://www.walkhighlands.co.uk/cairngorms/sgor-gaoith.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,14,913
Sgòr na h-Ulaidh,Fort William,994,Sgòr na h-Ulaidh and Meall Ligiche from Glen Coe,https://www.walkhighlands.co.uk/fortwilliam/sgornaulaidh.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,9,15.5,1292
Sgòrr Dhearg (Beinn a' Bheithir),Fort William,1024,Beinn a' Bheithir via Schoolhouse Ridge,https://www.walkhighlands.co.uk/fortwilliam/beinnabheithir.shtml,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,7,9,15.5,1387
Sgòrr Dhònuill (Beinn a' Bheithir),Fort William,1001,Beinn a' Bheithir via Schoolhouse Ridge,https://www.walkhighlands.co.uk/fortwilliam/beinnabheithir.shtml,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,7,9,15.5,1387
Sgòrr nam Fiannaidh (Aonach Eagach),Fort William,967,The Aonach Eagach ridge from Glencoe,https://www.walkhighlands.co.uk/fortwilliam/aonacheagach.shtml,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,9.5,1100
Sgòrr Ruadh,Torridon,962,Sgòrr Ruadh from Achnashellach,https://www.walkhighlands.co.uk/torridon/Sgorrruadh.shtml,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,6.5,7,16,931
Sgùrr a' Bhealaich Dheirg,Kintail,1036,Sgùrr a Bhealaich Dheirg and the Brothers of Kintail,https://www.walkhighlands.co.uk/kintail/Brothersridge.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,10,1274
Sgùrr a' Chaorachain,Torridon,1053,Sgùrr a' Chaorachain and Sgùrr Chòinnich from Achnashellach,https://www.walkhighlands.co.uk/torridon/Sgurrchoinnich.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,8,20.5,1251
Sgùrr a' Choire Ghlais,Loch Ness,1083,Circuit of the Strathfarrar Munros,https://www.walkhighlands.co.uk/lochness/strathfarrar-munros.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,10,25,1567
Sgùrr a' Ghreadaidh,Isle of Skye,973,Sgùrr a Ghreadaidh and Sgùrr a Mhadaidh via An Dorus,https://www.walkhighlands.co.uk/skye/sgurraghreadaidh.shtml,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,6,8,9.5,997
Sgùrr a' Mhadaidh,Isle of Skye,918,Sgùrr a Ghreadaidh and Sgùrr a Mhadaidh via An Dorus,https://www.walkhighlands.co.uk/skye/sgurraghreadaidh.shtml,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,6,8,9.5,997
Sgùrr a' Mhàim,Fort William,1099,The Ring of Steall,https://www.walkhighlands.co.uk/fortwilliam/ringofsteall.shtml,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,12,16,1676
Sgùrr a' Mhaoraich,Fort William,1027,Sgùrr a'Mhaoraich from Loch Cuaich,https://www.walkhighlands.co.uk/fortwilliam/sgurramhaoraich.shtml,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,7,14,1077
Sgùrr Alasdair,Isle of Skye,992,Sgùrr Alasdair via the Great Stone Chute,https://www.walkhighlands.co.uk/skye/sgurralasdair.shtml,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,9.5,992
Sgùrr an Doire Leathain,Kintail,1010,South Glen Shiel Ridge walk,https://www.walkhighlands.co.uk/kintail/Glenshielridge.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,26.75,1818
Sgùrr an Lochain,Kintail,1004,South Glen Shiel Ridge walk,https://www.walkhighlands.co.uk/kintail/Glenshielridge.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,26.75,1818
Sgùrr Bàn,Ullapool,989,"The Fisherfield 6, from Shenavall",https://www.walkhighlands.co.uk/ullapool/fisherfield-6.shtml,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,12,18,29,2254
Sgùrr Breac,Ullapool,999,Sgùrr Breac and a' Chailleach from near Braemore,https://www.walkhighlands.co.uk/ullapool/sgurrbreac.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,16,1127
Sgùrr Chòinnich,Torridon,999,Sgùrr a' Chaorachain and Sgùrr Chòinnich from Achnashellach,https://www.walkhighlands.co.uk/torridon/Sgurrchoinnich.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,8,20.5,1251
Sgùrr Chòinnich Mòr,Fort William,1094,The Grey Corries ridge,https://www.walkhighlands.co.uk/fortwilliam/greycorries.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,9,10,21.5,1544
Sgùrr Dubh Mòr,Isle of Skye,944,Southern Cuillin and Coire Ghrunnda,https://www.walkhighlands.co.uk/skye/sgurrnaneag.shtml,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,11,15,1159
Sgùrr Èilde Mòr,Fort William,1010,Sgùrr Èilde Mòr and Binnein Beag from Kinlochleven,https://www.walkhighlands.co.uk/fortwilliam/sgurreildemor.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,20,1582
Sgùrr Fhuar-thuill,Loch Ness,1049,Circuit of the Strathfarrar Munros,https://www.walkhighlands.co.uk/lochness/strathfarrar-munros.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,10,25,1567
Sgùrr Fhuaran,Kintail,1067,Five Sisters of Kintail traverse,https://www.walkhighlands.co.uk/kintail/Fivesisters.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,15,1385
Sgùrr Fiona (An Teallach),Ullapool,1060,"An Teallach traverse, Dundonnell",https://www.walkhighlands.co.uk/ullapool/anteallach.shtml,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,9,10,20,1415
Sgùrr Mhic Chòinnich,Isle of Skye,948,Sgùrr Mhic Chòinnich from Coire Lagan,https://www.walkhighlands.co.uk/skye/sgurr-mhic-choinnich.shtml,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,6,11,950
Sgùrr Mòr,Ullapool,1110,Sgùrr Mòr and the eastern Fannichs,https://www.walkhighlands.co.uk/ullapool/fannichs.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,24.75,1435
Sgùrr Mòr (Beinn Alligin),Torridon,986,Beinn Alligin ridge traverse,https://www.walkhighlands.co.uk/torridon/Beinnalligin.shtml,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,7,8,10.5,1190
Sgùrr Mòr (Loch Cuaich),Fort William,1003,Sgùrr Mòr and Sgùrr an Fhuarain from Loch Arkaig,https://www.walkhighlands.co.uk/fortwilliam/sgurr-mor.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,9,11,24,1510
Sgùrr na Banachdich,Isle of Skye,965,Sgùrr na Banachdich via Coire nan Eich,https://www.walkhighlands.co.uk/skye/sgurrnabanachdich.shtml,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,7,7.5,936
Sgùrr na Càrnach,Kintail,1002,Five Sisters of Kintail traverse,https://www.walkhighlands.co.uk/kintail/Fivesisters.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,8,10,15,1385
Sgùrr na Cìche,Fort William,1040,Sgùrr na Cìche Munros from Loch Arkaig,https://www.walkhighlands.co.uk/fortwilliam/sgurrnaciche.shtml,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,10,12,26,1523
